punt2(   0 ,   0 ) heeft buur punt2(   0 ,   0 ),  gevonden in    12 doorzochte knopen met afstand 0
punt2( 550 , 200 ) heeft buur punt2( 551 , 199 ),  gevonden in    24 doorzochte knopen met afstand 2
punt2( 550 , 250 ) heeft buur punt2( 551 , 250 ),  gevonden in    19 doorzochte knopen met afstand 1
punt2( 550 , 300 ) heeft buur punt2( 549 , 300 ),  gevonden in    26 doorzochte knopen met afstand 1
punt2( 550 , 350 ) heeft buur punt2( 551 , 348 ),  gevonden in    39 doorzochte knopen met afstand 5
punt2( 550 , 400 ) heeft buur punt2( 550 , 400 ),  gevonden in    31 doorzochte knopen met afstand 0
punt2( 550 , 450 ) heeft buur punt2( 551 , 451 ),  gevonden in    26 doorzochte knopen met afstand 2
punt2( 550 , 500 ) heeft buur punt2( 548 , 497 ),  gevonden in    32 doorzochte knopen met afstand 13
punt2( 550 , 550 ) heeft buur punt2( 548 , 549 ),  gevonden in    40 doorzochte knopen met afstand 5
punt2( 550 , 600 ) heeft buur punt2( 549 , 599 ),  gevonden in    37 doorzochte knopen met afstand 2
punt2( 550 , 650 ) heeft buur punt2( 550 , 650 ),  gevonden in    20 doorzochte knopen met afstand 0
punt2( 550 , 700 ) heeft buur punt2( 550 , 698 ),  gevonden in    24 doorzochte knopen met afstand 4
punt2( 550 , 750 ) heeft buur punt2( 551 , 750 ),  gevonden in    22 doorzochte knopen met afstand 1
punt2( 550 , 800 ) heeft buur punt2( 551 , 800 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 550 , 850 ) heeft buur punt2( 551 , 850 ),  gevonden in    29 doorzochte knopen met afstand 1
punt2( 550 , 900 ) heeft buur punt2( 551 , 900 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 550 , 950 ) heeft buur punt2( 551 , 950 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2( 600 ,   0 ) heeft buur punt2( 600 ,   0 ),  gevonden in    17 doorzochte knopen met afstand 0
punt2( 600 ,  50 ) heeft buur punt2( 601 ,  50 ),  gevonden in    46 doorzochte knopen met afstand 1
punt2( 600 , 100 ) heeft buur punt2( 602 ,  99 ),  gevonden in    35 doorzochte knopen met afstand 5
punt2( 600 , 150 ) heeft buur punt2( 598 , 150 ),  gevonden in    24 doorzochte knopen met afstand 4
